"file","line","table","risk","snippet"
"admin/pages/journal_voucher_reports.php","77","accounts","OK","'SELECT ' . $accCols . ' FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.code, \'\'), a.name',"
"admin/pages/journal_voucher_reports.php","86","journal_vouchers","OK","$sql = 'SELECT * FROM journal_vouchers jv"
"admin/pages/journal_voucher_screen.php","27","accounts","OK","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/opening_balances.php","113","journal_vouchers","OK","'SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ? ORDER BY id DESC LIMIT 1'"
"admin/pages/opening_balances.php","119","journal_vouchers","OK","'SELECT voucher_date, reference, description, document_entered_at, created_at FROM journal_vouchers WHERE id = ? LIMIT 1'"
"admin/pages/opening_balances.php","140","accounts","OK","INNER JOIN accounts a ON a.id = jl.account_id"
"admin/pages/partner_account_statement.php","96","accounts","OK","$pasAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"admin/pages/partner_account_statement.php","221","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"admin/pages/partner_account_statement.php","236","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"admin/pages/partner_account_statement.php","267","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"admin/pages/partner_account_statement.php","282","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"admin/pages/partner_party_voucher_ui.php","39","accounts","OK","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/partner_party_voucher_ui.php","55","accounts","OK","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/partner_party_voucher_ui.php","84","accounts","OK","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/partner_party_voucher_ui.php","110","accounts","OK","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"admin/pages/partner_party_voucher_ui.php","175","accounts","OK","$ppvCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $ppvLw"";"
"admin/pages/partner_reports.php","27","accounts","OK","$prPostingLeafCt = (int) $pdo->query(""SELECT COUNT(*) FROM accounts a WHERE $prLeafWhere"")->fetchColumn();"
"admin/pages/partner_supplier_payment.php","29","accounts","OK","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/partner_supplier_payment.php","51","accounts","OK","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/partner_supplier_payment.php","73","accounts","OK","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"admin/pages/purchases.php","66","accounts","OK","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/purchases.php","88","accounts","OK","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"admin/pages/purchases.php","134","accounts","OK","$pv2AcctSql = 'SELECT id, code, name FROM accounts WHERE 1=1';"
"admin/pages/purchase_returns.php","76","accounts","OK","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/purchase_returns.php","101","accounts","OK","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"admin/pages/purchase_returns.php","160","accounts","OK","foreach (orange_accounts_fetch($pdo, 'SELECT a.id, a.code, a.name FROM accounts a WHERE 1=1 ORDER BY a.code ASC', [], 'a') as $r) {"
"admin/pages/report_gl_account_monthly.php","21","accounts","OK","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name"","
"admin/pages/report_gl_account_monthly.php","42","accounts","OK","$stOne = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"admin/pages/report_gl_account_monthly.php","138","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"admin/pages/report_gl_account_monthly.php","157","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"admin/pages/report_pl_compare_years.php","20","accounts","OK","$accounts = orange_accounts_fetch($pdo, 'SELECT a.id FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.code, \'\'), a.name', [], 'a');"
"admin/pages/report_pl_monthly.php","134","accounts","OK","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name"","
"admin/pages/report_pl_monthly.php","212","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"admin/pages/report_trial_balance.php","96","accounts","OK","$tbAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"admin/pages/suppliers.php","34","accounts","OK","'SELECT id FROM accounts WHERE parent_id IN (' . $apPh . ') AND id NOT IN (' . $apPh . ')'"
"admin/pages/suppliers.php","49","accounts","OK","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE a.id IN (' . $apPh . ') AND (' . $lw . ')';"
"admin/pages/suppliers.php","52","accounts","OK","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $lw;"
"includes/accounting_report_mapping.php","52","accounts","OK","$st = $pdo->prepare('SELECT ' . $cols . ' FROM accounts a' . $join . ' WHERE a.id IN (' . $ph . ')');"
"includes/account_tree.php","33","accounts","OK","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"includes/account_tree.php","111","accounts","OK","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"includes/account_tree.php","141","accounts","OK","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"includes/account_tree.php","236","accounts","OK","$st = $pdo->prepare('SELECT ' . $sel . ' FROM accounts WHERE id = ? LIMIT 1');"
"includes/account_tree.php","459","accounts","OK","$sql = ""SELECT COUNT(*) FROM accounts a WHERE $lw"";"
"includes/account_tree.php","517","accounts","OK","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"includes/account_tree.php","544","accounts","OK","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"includes/account_tree.php","592","accounts","OK","$parts[] = ""NOT EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = {$alias}.id)"";"
"includes/account_tree.php","626","accounts","OK","$parentSql = 'SELECT DISTINCT parent_id FROM accounts WHERE COALESCE(parent_id, 0) > 0';"
"includes/account_tree.php","694","accounts","OK","$sql = 'SELECT a.id, a.code FROM accounts a WHERE a.id IN (' . $ph . ') AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a');"
"includes/account_tree.php","727","accounts","OK","$sql = 'SELECT a.code FROM accounts a WHERE a.id = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a') . ' LIMIT 1';"
"includes/account_tree.php","752","accounts","OK","$rootSql = ""SELECT code FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)"
"includes/account_tree.php","777","accounts","OK","$pst = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"includes/account_tree.php","788","accounts","OK","'SELECT code FROM accounts WHERE parent_id = ? AND code IS NOT NULL AND code <> \'\''"
"includes/account_tree.php","894","accounts","OK","$ch = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE parent_id = ?');"
"includes/account_tree.php","953","accounts","OK","$sql = 'SELECT ' . $cols . ' FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)';"
"includes/catalog_schema.php","508","accounts","OK","$stCnt = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"includes/catalog_schema.php","512","accounts","OK","$cnt = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"includes/catalog_schema.php","552","accounts","OK","$stCnt2 = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"includes/catalog_schema.php","556","accounts","OK","$cnt2 = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"includes/countries.php","669","accounts","OK","$st = $pdo->prepare('SELECT country_id FROM accounts WHERE id = ? LIMIT 1');"
"includes/countries.php","689","accounts","OK","$st = $pdo->prepare('SELECT country_id FROM accounts WHERE id = ? LIMIT 1');"
"includes/countries.php","712","accounts","OK","'SELECT id FROM accounts WHERE id IN (' . $ph . ') AND country_id = ?'"
"includes/country_provision.php","52","accounts","OK","$st = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"includes/country_provision.php","193","accounts","OK","$stCnt = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"includes/country_provision.php","201","accounts","OK","$stSrc = $pdo->prepare('SELECT * FROM accounts WHERE country_id = ? ORDER BY id ASC');"
"includes/financial_report_breakdown.php","46","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"includes/financial_report_breakdown.php","90","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"includes/financial_report_breakdown.php","130","journal_vouchers","OK","FROM journal_vouchers jv"
"includes/financial_report_breakdown.php","174","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"includes/financial_report_breakdown.php","234","accounts","OK","$sql = 'SELECT ' . $cols . ' FROM accounts a' . $join . ' WHERE ' . $lw;"
"includes/fiscal_years.php","175","journal_vouchers","OK","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE fiscal_year_id = ? LIMIT 1');"
"includes/gl_account_aging.php","110","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"includes/gl_account_aging.php","120","journal_vouchers","OK","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
