"Table","File","Line","Snippet"
"accounts","admin/api/accounts/search-leaves.php","131","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE ' . $leafWhere;"
"accounts","admin/api/accounts/suggest-code.php","21","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/journal/manage.php","163","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/journal/manage.php","321","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/journal/manage.php","430","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","admin/api/settings/gl-accounts.php","28","'SELECT id, name, code FROM accounts WHERE 1=1' . $acctFilter['sql']"
"accounts","admin/api/settings/gl-accounts.php","35","'SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\') ASC, name ASC'"
"accounts","admin/api/settings/gl-accounts.php","135","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/settings/gl-accounts.php","149","$chkHasChildren = $pdo->prepare('SELECT 1 FROM accounts WHERE parent_id = ? LIMIT 1');"
"accounts","admin/api/suppliers/print-card.php","47","$accSt = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/accounting_reports_index.php","22","$acctIdxSql = ""SELECT COUNT(*) FROM accounts a WHERE $acctIdxLw"";"
"accounts","admin/pages/financial_report.php","35","$acctSql = 'SELECT id, name, code FROM accounts WHERE 1=1';"
"accounts","admin/pages/financial_report.php","61","$frCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $frPostingLeafWhere"";"
"accounts","admin/pages/fiscal_years.php","34","$st = $pdoConn->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/gl_account_settings.php","37","'SELECT a.id, a.name, a.code FROM accounts a WHERE 1=1',"
"accounts","admin/pages/gl_posting.php","23","$glCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $glPlw"";"
"accounts","admin/pages/journal_voucher_reports.php","77","'SELECT ' . $accCols . ' FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.code, \'\'), a.name',"
"accounts","admin/pages/journal_voucher_screen.php","27","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/opening_balances.php","140","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","admin/pages/partner_account_statement.php","93","$pasAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"accounts","admin/pages/partner_party_voucher_ui.php","39","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_party_voucher_ui.php","55","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_party_voucher_ui.php","84","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_party_voucher_ui.php","110","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/partner_party_voucher_ui.php","175","$ppvCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $ppvLw"";"
"accounts","admin/pages/partner_reports.php","27","$prPostingLeafCt = (int) $pdo->query(""SELECT COUNT(*) FROM accounts a WHERE $prLeafWhere"")->fetchCol..."
"accounts","admin/pages/partner_supplier_payment.php","29","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_supplier_payment.php","51","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_supplier_payment.php","73","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/purchase_returns.php","76","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/purchase_returns.php","101","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/purchase_returns.php","160","foreach (orange_accounts_fetch($pdo, 'SELECT a.id, a.code, a.name FROM accounts a WHERE 1=1 ORDER BY..."
"accounts","admin/pages/purchases.php","66","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/purchases.php","88","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/purchases.php","134","$pv2AcctSql = 'SELECT id, code, name FROM accounts WHERE 1=1';"
"accounts","admin/pages/report_gl_account_monthly.php","21","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name""..."
"accounts","admin/pages/report_gl_account_monthly.php","42","$stOne = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/report_pl_compare_years.php","20","$accounts = orange_accounts_fetch($pdo, 'SELECT a.id FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.c..."
"accounts","admin/pages/report_pl_monthly.php","133","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name""..."
"accounts","admin/pages/report_trial_balance.php","96","$tbAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"accounts","admin/pages/suppliers.php","34","'SELECT id FROM accounts WHERE parent_id IN (' . $apPh . ') AND id NOT IN (' . $apPh . ')'"
"accounts","admin/pages/suppliers.php","49","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE a.id IN (' . $apPh . ') AND (' . $lw ...."
"accounts","admin/pages/suppliers.php","52","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $lw;"
"accounts","includes/account_tree.php","33","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","111","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","141","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","236","$st = $pdo->prepare('SELECT ' . $sel . ' FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","459","$sql = ""SELECT COUNT(*) FROM accounts a WHERE $lw"";"
"accounts","includes/account_tree.php","517","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","544","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","592","$parts[] = ""NOT EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = {$alias}.id)"";"
"accounts","includes/account_tree.php","626","$pq = $pdo->query('SELECT DISTINCT parent_id FROM accounts WHERE COALESCE(parent_id, 0) > 0');"
"accounts","includes/account_tree.php","682","$sql = 'SELECT a.id, a.code FROM accounts a WHERE a.id IN (' . $ph . ') AND ' . orange_accounts_post..."
"accounts","includes/account_tree.php","709","$sql = 'SELECT a.code FROM accounts a WHERE a.id = ? AND ' . orange_accounts_posting_leaf_where_sql(..."
"accounts","includes/account_tree.php","734","$rootSql = ""SELECT code FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)"
"accounts","includes/account_tree.php","759","$pst = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","770","'SELECT code FROM accounts WHERE parent_id = ? AND code IS NOT NULL AND code <> \'\''"
"accounts","includes/account_tree.php","876","$ch = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE parent_id = ?');"
"accounts","includes/account_tree.php","935","$sql = 'SELECT ' . $cols . ' FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)';"
